ABS,144hQC,144hQCOA
1280.340547,0.016186,0.095405
1282.204216,0.017389,0.09751
1284.067885,0.01918,0.098257
1285.931554,0.022595,0.098808
1287.795223,0.025165,0.097174
1289.658892,0.025588,0.092701
1291.522561,0.02492,0.087384
1293.38623,0.025149,0.083926
1295.249898,0.025835,0.081936
1297.113567,0.025917,0.079954
1298.977236,0.02572,0.077825
1300.840905,0.025973,0.075777
1302.704574,0.027603,0.074419
1304.568243,0.030252,0.073362
1306.431912,0.034005,0.072709
1308.295581,0.038465,0.072152
1310.15925,0.044396,0.073129
1312.022919,0.052445,0.076898
1313.886588,0.058343,0.079121
1315.750257,0.062698,0.080359
1317.613925,0.066912,0.082682
1319.477594,0.065985,0.081411
1321.341263,0.058753,0.074765
1323.204932,0.050901,0.06778
1325.068601,0.043885,0.061685
1326.93227,0.037778,0.056206
1328.795939,0.032959,0.051507
1330.659608,0.030105,0.048372
1332.523277,0.02843,0.046145
1334.386946,0.030554,0.047563
1336.250615,0.038349,0.054606
1338.114284,0.049576,0.06531
1339.977952,0.050131,0.064838
1341.841621,0.040056,0.052849
1343.70529,0.035189,0.045798
1345.568959,0.038533,0.046461
1347.432628,0.044249,0.049464
1349.296297,0.049101,0.051786
1351.159966,0.053151,0.053328
1353.023635,0.057684,0.055736
1354.887304,0.060835,0.057423
1356.750973,0.061726,0.057744
1358.614642,0.063318,0.059617
1360.478311,0.071482,0.068819
1362.34198,0.076221,0.075529
1364.205648,0.064683,0.065794
1366.069317,0.053183,0.055899
1367.932986,0.050473,0.055653
1369.796655,0.047264,0.055183
1371.660324,0.046738,0.057567
1373.523993,0.049414,0.06496
1375.387662,0.0409,0.061636
1377.251331,0.028841,0.052034
1379.115,0.021239,0.043779
1380.978669,0.016095,0.035951
1382.842338,0.01164,0.029332
1384.706007,0.015713,0.033051
1386.569675,0.02095,0.039547
1388.433344,0.016602,0.036746
1390.297013,0.008642,0.0302
1392.160682,0.012509,0.036244
1394.024351,0.024363,0.052203
1395.88802,0.028546,0.061253
1397.751689,0.026118,0.064066
1399.615358,0.016267,0.0611
1401.479027,0.008169,0.059485
1403.342696,0.00848,0.067265
1405.206365,0.010902,0.079012
1407.070034,0.004134,0.079693
1408.933702,0.001561,0.082671
1410.797371,0.002615,0.087282
1412.66104,0.002753,0.086214
1414.524709,0.006042,0.084725
1416.388378,0.021698,0.094946
1418.252047,0.034579,0.104755
1420.115716,0.023866,0.090943
1421.979385,0.015633,0.079544
1423.843054,0.015633,0.07771
1425.706723,0.014299,0.074791
1427.570392,0.014613,0.074876
1429.434061,0.020115,0.082228
1431.297729,0.019128,0.082756
1433.161398,0.017655,0.081312
1435.025067,0.027379,0.092339
1436.888736,0.026716,0.094484
1438.752405,0.012151,0.07917
1440.616074,0.002545,0.068314
1442.479743,0.002326,0.067339
1444.343412,0.004559,0.068865
1446.207081,0.01182,0.07623
1448.07075,0.014398,0.080532
1449.934419,0.012082,0.079909
1451.798088,0.013552,0.083889
1453.661757,0.026184,0.100294
1455.525425,0.051321,0.132166
1457.389094,0.060845,0.149161
1459.252763,0.034326,0.121094
1461.116432,0.012956,0.096619
1462.980101,0.0143,0.097329
1464.84377,0.017627,0.099682
1466.707439,0.012496,0.086947
1468.571108,0.009191,0.068489
1470.434777,0.026437,0.067196
1472.298446,0.045436,0.068047
1474.162115,0.041596,0.054492
1476.025784,0.025736,0.035324
1477.889452,0.013785,0.020774
1479.753121,0.010779,0.015832
1481.61679,0.011847,0.014954
1483.480459,0.013143,0.014288
1485.344128,0.0224,0.022071
1487.207797,0.0415,0.039811
1489.071466,0.056848,0.053935
1490.935135,0.043931,0.039342
1492.798804,0.029406,0.022968
1494.662473,0.035779,0.027823
1496.526142,0.052186,0.042422
1498.389811,0.053663,0.04173
1500.253479,0.047543,0.033576
1502.117148,0.049137,0.033124
1503.980817,0.068717,0.051068
1505.844486,0.11854,0.099086
1507.708155,0.140785,0.116793
1509.571824,0.110633,0.083618
1511.435493,0.091428,0.064022
1513.299162,0.086251,0.061046
1515.162831,0.094112,0.072757
1517.0265,0.093745,0.076307
1518.890169,0.08894,0.073064
1520.753838,0.089851,0.075976
1522.617507,0.07819,0.066628
1524.481175,0.061797,0.052384
1526.344844,0.049061,0.042514
1528.208513,0.034445,0.030265
1530.072182,0.023893,0.021064
1531.935851,0.0326,0.030817
1533.79952,0.03444,0.032968
1535.663189,0.026063,0.023954
1537.526858,0.03652,0.034561
1539.390527,0.071861,0.070272
1541.254196,0.074578,0.072156
1543.117865,0.056621,0.05315
1544.981534,0.038828,0.034611
1546.845202,0.024329,0.019407
1548.708871,0.02752,0.022291
1550.57254,0.03212,0.026749
1552.436209,0.033387,0.027897
1554.299878,0.039958,0.034831
1556.163547,0.058659,0.054008
1558.027216,0.087433,0.085036
1559.890885,0.0661,0.065144
1561.754554,0.026571,0.024874
1563.618223,0.016357,0.0148
1565.481892,0.015085,0.013862
1567.345561,0.019174,0.018091
1569.209229,0.022957,0.022532
1571.072898,0.01325,0.012652
1572.936567,0.008308,0.00706
1574.800236,0.019708,0.018084
1576.663905,0.023314,0.021482
1578.527574,0.008926,0.006615
1580.391243,0.001269,-0.001474
1582.254912,0.002001,-0.001728
1584.118581,0.004711,-0.000378
1585.98225,0.006971,0.000415
1587.845919,0.011491,0.003645
1589.709588,0.016419,0.007275
1591.573256,0.020918,0.010459
1593.436925,0.024177,0.013375
1595.300594,0.0264,0.015522
1597.164263,0.025522,0.013726
1599.027932,0.026631,0.013769
1600.891601,0.031069,0.017274
1602.75527,0.036319,0.021454
1604.618939,0.038767,0.022788
1606.482608,0.042839,0.02617
1608.346277,0.046282,0.029255
1610.209946,0.046533,0.029545
1612.073615,0.044081,0.027812
1613.937284,0.048616,0.034666
1615.800952,0.057273,0.047632
1617.664621,0.049991,0.044515
1619.52829,0.035755,0.031958
1621.391959,0.035294,0.03332
1623.255628,0.033929,0.03448
1625.119297,0.02054,0.023099
1626.982966,0.012671,0.016995
1628.846635,0.007053,0.012735
1630.710304,0.000826,0.006845
1632.573973,0.005848,0.012261
1634.437642,0.027331,0.035138
1636.301311,0.03294,0.042199
1638.164979,0.013947,0.023012
1640.028648,0.002476,0.011908
1641.892317,0.002941,0.012725
1643.755986,0.013784,0.024213
1645.619655,0.037206,0.049066
1647.483324,0.044969,0.058035
1649.346993,0.031462,0.044104
1651.210662,0.042834,0.057388
1653.074331,0.070372,0.090042
1654.938,0.045279,0.064113
1656.801669,0.022478,0.040452
1658.665338,0.017151,0.03597
1660.529006,0.024694,0.04452
1662.392675,0.030884,0.052745
1664.256344,0.022885,0.045756
1666.120013,0.018745,0.042603
